fault_type,records,actual_failures,predicted_failures,avg_probability,precision,recall,f1
harmonic_distortion,543,84,90,0.1734841763973236,0.9333333333333333,1.0,0.9655172413793104
normal,5363,0,0,7.042049669087058e-12,0.0,0.0,0.0
overheating,602,76,80,0.13397814333438873,0.925,0.9736842105263158,0.9487179487179487
overload,550,54,59,0.11188999563455582,0.8983050847457628,0.9814814814814815,0.9380530973451328
voltage_instability,592,85,89,0.15580086410045624,0.9213483146067416,0.9647058823529412,0.9425287356321839
