asset_id,records,actual_failures,predicted_failures,actual_failure_rate,predicted_failure_rate,TP,TN,FP,FN,accuracy,precision,recall,f1,avg_probability
T01,2550,103,117,0.040392156862745096,0.04588235294117647,103,2433,14,0,0.9945098039215686,0.8803418803418803,1.0,0.9363636363636364,0.04695837
T02,2550,75,70,0.029411764705882353,0.027450980392156862,69,2474,1,6,0.9972549019607844,0.9857142857142858,0.92,0.9517241379310345,0.028644562
T03,2550,121,131,0.04745098039215686,0.05137254901960785,121,2419,10,0,0.996078431372549,0.9236641221374046,1.0,0.9603174603174603,0.053271722
